,player_name,event,event_type,event_date,score
278,tāotiè,ROTGP,PVE-L,2020-06-23,1.0
279,lost4g,ROTGP,PVE-L,2020-06-23,0.9726
280,europachaos,RAW,PVP-S,2020-06-14,0.9583
281,twister,RAW,PVP-S,2020-06-14,0.9583
282,doktorjadran,RAW,PVP-S,2020-06-14,0.8208
283,valdahsor,RAW,PVP-S,2020-06-14,0.925
284,oibaf2000,RAW,PVP-S,2020-06-14,0.8625
285,fartingsnail,RAW,PVP-S,2020-06-14,1.0
286,powernic,RAW,PVP-S,2020-06-14,1.0
287,tāotiè,RAW,PVP-S,2020-06-14,0.9917
288,zohair,RAW,PVP-S,2020-06-14,1.0
289,johnthebarn,RAW,PVP-S,2020-06-14,0.95
290,omi77,RAW,PVP-S,2020-06-14,0.9167
291,magesty,RAW,PVP-S,2020-06-14,0.8292
292,arrowny,RAW,PVP-S,2020-06-14,0.9583
293,edhmage,RAW,PVP-S,2020-06-14,0.8083
294,paleale,RAW,PVP-S,2020-06-14,0.8625
295,arklight,RAW,PVP-S,2020-06-14,0.875
296,mister20,RAW,PVP-S,2020-06-14,0.9583
297,yogsoth,RAW,PVP-S,2020-06-14,0.9875
298,abyssian,RAW,PVP-S,2020-06-14,0.9875
299,alfredseet,RAW,PVP-S,2020-06-14,0.9583
300,chronomor,RAW,PVP-S,2020-06-14,0.8958
301,shrek,RAW,PVP-S,2020-06-14,0.8333
302,marshall,RAW,PVP-S,2020-06-14,1.0
303,vesticles,RAW,PVP-S,2020-06-14,0.5292
304,lost4g,RAW,PVP-S,2020-06-14,1.0
305,morlock,RAW,PVP-S,2020-06-14,0.7167
306,marsdeon,RAW,PVP-S,2020-06-14,0.8125
307,bihotz,RAW,PVP-S,2020-06-14,0.675
308,fatman,RAW,PVP-S,2020-06-14,0.7958
309,skeletor,RAW,PVP-S,2020-06-14,0.7292
310,pinkyellow1203,RAW,PVP-S,2020-06-14,0.7208
311,jimmysnuka,RAW,PVP-S,2020-06-14,0.8333
312,imwithstupid,RAW,PVP-S,2020-06-14,0.3708
313,tamiyo,RAW,PVP-S,2020-06-14,0.7833
314,javiele,RAW,PVP-S,2020-06-14,0.6167
315,digger,RAW,PVP-S,2020-06-14,0.5458
316,janjers,RAW,PVP-S,2020-06-14,0.4917
317,telanthar,RAW,PVP-S,2020-06-14,0.625
318,mistercawck,RAW,PVP-S,2020-06-14,0.9333
319,guest,RAW,PVP-S,2020-06-14,0.9417
320,schmara,RAW,PVP-S,2020-06-14,0.2708
321,decadentia,RAW,PVP-S,2020-06-14,0.0
322,jeffrey27,RAW,PVP-S,2020-06-14,0.0
323,multani,RAW,PVP-S,2020-06-14,0.0
324,muirthemne,RAW,PVP-S,2020-06-14,0.0
325,quiddajj,RAW,PVP-S,2020-06-14,0.0
326,kelsigrammar,RAW,PVP-S,2020-06-14,0.4292
327,patricio,RAW,PVP-S,2020-06-14,0.0
328,ralpha,RAW,PVP-S,2020-06-14,0.0
329,skills,RAW,PVP-S,2020-06-14,0.0
340,nycfcbert,RAW,PVP-S,2020-06-14,0.8583
341,torbar,RAW,PVP-S,2020-06-14,0.7583
342,huanchoo,RAW,PVP-S,2020-06-14,0.7
343,khaalis,RAW,PVP-S,2020-06-14,0.6792
344,bridgerbill,RAW,PVP-S,2020-06-14,0.6708
345,burrito,RAW,PVP-S,2020-06-14,0.6083
346,mooninja,RAW,PVP-S,2020-06-14,0.5292
347,rylenor,RAW,PVP-S,2020-06-14,0.4667
348,niigin,RAW,PVP-S,2020-06-14,0.4333
349,hueytw,RAW,PVP-S,2020-06-14,0.4167
350,caddam,RAW,PVP-S,2020-06-14,0.5833
351,dediilus,RAW,PVP-S,2020-06-14,0.3333
352,donthateme,RAW,PVP-S,2020-06-14,0.225
353,pinkmafia,RAW,PVP-S,2020-06-14,0.0833
354,krizzb,RAW,PVP-S,2020-06-14,0.0417
355,fanciest,RAW,PVP-S,2020-06-14,0.0
356,aztaren,RAW,PVP-S,2020-06-14,0.0
357,sparky,RAW,PVP-S,2020-06-14,0.0
358,vizzerdrix,RAW,PVP-S,2020-06-14,0.0
359,masaana,RAW,PVP-S,2020-06-14,0.0
360,lumiere,RAW,PVP-S,2020-06-14,0.0
362,taidachan,RAW,PVP-S,2020-06-14,0.0
363,psylun,RAW,PVP-S,2020-06-14,0.0
380,serenity,RAW,PVP-S,2020-06-14,0.625
381,thabombs,RAW,PVP-S,2020-06-14,0.0667
382,emissary,RAW,PVP-S,2020-06-14,0.0
383,cmikaitis,RAW,PVP-S,2020-06-14,0.0
384,greywolf,RAW,PVP-S,2020-06-14,0.1583
385,mongkokkid,RAW,PVP-S,2020-06-14,0.0
386,rooster,RAW,PVP-S,2020-06-14,0.0
387,hburger,RAW,PVP-S,2020-06-14,0.0
388,jayariel,RAW,PVP-S,2020-06-14,0.0
389,gofreo,RAW,PVP-S,2020-06-14,0.0
390,mucephei,RAW,PVP-S,2020-06-14,0.0
391,hobogoblin,RAW,PVP-S,2020-06-14,0.0
392,timothy,RAW,PVP-S,2020-06-14,0.0
393,lantore,RAW,PVP-S,2020-06-14,0.0
400,madwren,RAW,PVP-S,2020-06-14,1.0
401,zariath,RAW,PVP-S,2020-06-14,0.9583
402,nickolas,RAW,PVP-S,2020-06-14,1.0
403,magicninja1,RAW,PVP-S,2020-06-14,0.9583
404,larz70,RAW,PVP-S,2020-06-14,1.0
405,ggbond,RAW,PVP-S,2020-06-14,0.9167
406,matthew,RAW,PVP-S,2020-06-14,1.0
407,demonious,RAW,PVP-S,2020-06-14,1.0
408,themorbo,RAW,PVP-S,2020-06-14,1.0
409,magegaga,RAW,PVP-S,2020-06-14,0.9583
410,shteev,RAW,PVP-S,2020-06-14,0.9917
411,lucian,RAW,PVP-S,2020-06-14,1.0
412,operasm,RAW,PVP-S,2020-06-14,0.9375
413,gideon,RAW,PVP-S,2020-06-14,0.9458333333
414,d3r3lict,RAW,PVP-S,2020-06-14,0.9375
415,nyarlathotep,RAW,PVP-S,2020-06-14,0.9583333333
416,shahper,RAW,PVP-S,2020-06-14,1.0
417,analconda,RAW,PVP-S,2020-06-14,0.9583333333
418,zw2007,RAW,PVP-S,2020-06-14,0.9583333333
419,yaanchy,RAW,PVP-S,2020-06-14,0.9375
420,europachaos,TTN,PVP-S,2020-06-07,1.0
421,twister,TTN,PVP-S,2020-06-07,0.9571
422,doktorjadran,TTN,PVP-S,2020-06-07,0.9857
423,valdahsor,TTN,PVP-S,2020-06-07,1.0
424,oibaf2000,TTN,PVP-S,2020-06-07,0.9857
425,fartingsnail,TTN,PVP-S,2020-06-07,0.9286
426,powernic,TTN,PVP-S,2020-06-07,1.0
427,tāotiè,TTN,PVP-S,2020-06-07,1.0
428,yaanchy,TTN,PVP-S,2020-06-07,0.9714
429,marshall,TTN,PVP-S,2020-06-07,1.0
430,omi77,TTN,PVP-S,2020-06-07,0.55
431,magesty,TTN,PVP-S,2020-06-07,0.8429
432,arrowny,TTN,PVP-S,2020-06-07,1.0
433,edhmage,TTN,PVP-S,2020-06-07,1.0
434,paleale,TTN,PVP-S,2020-06-07,0.9
435,arklight,TTN,PVP-S,2020-06-07,0.8571
436,mister20,TTN,PVP-S,2020-06-07,1.0
437,yogsoth,TTN,PVP-S,2020-06-07,1.0
438,abyssian,TTN,PVP-S,2020-06-07,0.9857
439,alfredseet,TTN,PVP-S,2020-06-07,0.9286
440,chronomor,TTN,PVP-S,2020-06-07,0.3571
441,shrek,TTN,PVP-S,2020-06-07,1.0
442,zohair,TTN,PVP-S,2020-06-07,0.9786
443,vesticles,TTN,PVP-S,2020-06-07,0.8
444,mooninja,TTN,PVP-S,2020-06-07,0.9
445,morlock,TTN,PVP-S,2020-06-07,0.9286
446,nycfcbert,TTN,PVP-S,2020-06-07,0.8429
447,bihotz,TTN,PVP-S,2020-06-07,0.7214
448,fatman,TTN,PVP-S,2020-06-07,0.8714
449,johnthebarn,TTN,PVP-S,2020-06-07,0.95
450,pinkyellow1203,TTN,PVP-S,2020-06-07,0.9286
451,jimmysnuka,TTN,PVP-S,2020-06-07,1.0
452,imwithstupid,TTN,PVP-S,2020-06-07,0.5929
453,tamiyo,TTN,PVP-S,2020-06-07,1.0
454,javiele,TTN,PVP-S,2020-06-07,0.6429
455,digger,TTN,PVP-S,2020-06-07,0.6286
456,janjers,TTN,PVP-S,2020-06-07,0.6286
457,telanthar,TTN,PVP-S,2020-06-07,0.7
458,mistercawck,TTN,PVP-S,2020-06-07,0.9143
459,guest,TTN,PVP-S,2020-06-07,0.9714
460,schmara,TTN,PVP-S,2020-06-07,0.7071
461,decadentia,TTN,PVP-S,2020-06-07,0.0
462,jeffrey27,TTN,PVP-S,2020-06-07,0.0
463,multani,TTN,PVP-S,2020-06-07,0.0
464,muirthemne,TTN,PVP-S,2020-06-07,0.0
465,quiddajj,TTN,PVP-S,2020-06-07,0.0
466,kelsigrammar,TTN,PVP-S,2020-06-07,0.4857
467,patricio,TTN,PVP-S,2020-06-07,0.0
468,ralpha,TTN,PVP-S,2020-06-07,0.9857
469,skills,TTN,PVP-S,2020-06-07,0.0
482,huanchoo,TTN,PVP-S,2020-06-07,0.9429
483,torbar,TTN,PVP-S,2020-06-07,0.9286
484,skeletor,TTN,PVP-S,2020-06-07,0.85
485,caddam,TTN,PVP-S,2020-06-07,0.8
486,rylenor,TTN,PVP-S,2020-06-07,0.7786
487,masaana,TTN,PVP-S,2020-06-07,0.7714
488,burrito,TTN,PVP-S,2020-06-07,0.65
489,donthateme,TTN,PVP-S,2020-06-07,0.6286
490,pinkmafia,TTN,PVP-S,2020-06-07,1.0
491,bridgerbill,TTN,PVP-S,2020-06-07,0.6071
492,krizzb,TTN,PVP-S,2020-06-07,0.5929
493,vizzerdrix,TTN,PVP-S,2020-06-07,0.55
494,dediilus,TTN,PVP-S,2020-06-07,0.5286
